Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
43773103,9/13/19 13:15,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Monkey,Residence,11361,39-47 223 STREET,223 STREET,MIA DRIVE,41 AVENUE,MIA DRIVE,41 AVENUE,,BAYSIDE,223 STREET,,In Progress,,,,11 QUEENS,4063430150,QUEENS,1050595,218399,ONLINE,Unspecified,QUEENS,,,,,,,,40.76588227,-73.76049296,"(40.7658822664326, -73.7604929568591)"
40064622,8/21/18 14:28,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40523058,10/11/18 17:07,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40344930,9/21/18 9:34,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,10455,,,EAST  152 STREET,BERGEN AVENUE,EAST  152 STREET,BERGEN AVENUE,INTERSECTION,BRONX,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,9/24/18 19:49,01 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
40989106,11/20/18 23:09,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11220,,,63 STREET,8 AVENUE,63 STREET,8 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40491516,10/8/18 16:01,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42023082,3/22/19 9:47,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Farm Animal,Residence,11210,,,EAST   31 STREET,AVENUE K,EAST   31 STREET,AVENUE K,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,3/22/19 19:36,18 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40067458,8/21/18 16:21,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
41121595,12/6/18 10:07,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11361,,,45 DRIVE,211 STREET,45 DRIVE,211 STREET,INTERSECTION,BAYSIDE,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,12/6/18 21:31,11 QUEENS,,QUEENS,,,ONLINE,Unspecified,QUEENS,,,,,,,,,,
39970656,8/9/18 11:01,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40052425,8/19/18 15:14,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40066562,8/21/18 17:31,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
39608234,6/30/18 14:46,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11209,,,86 STREET,4 AVENUE,86 STREET,4 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42041579,3/24/19 10:44,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10003,,,EAST   14 STREET,4 AVENUE,EAST   14 STREET,4 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39771282,7/18/18 15:55,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40732136,11/2/18 15:25,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
41501522,1/23/19 13:01,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Store,11361,,,BELL BOULEVARD,38 AVENUE,BELL BOULEVARD,38 AVENUE,INTERSECTION,BAYSIDE,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,11 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
40146740,8/30/18 17:56,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11213,,,UTICA AVENUE,EASTERN PARKWAY,UTICA AVENUE,EASTERN PARKWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,08 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
40460435,10/4/18 15:08,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
41995523,3/19/19 15:01,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40285598,9/14/18 15:34,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,10458,,,EAST FORDHAM ROAD,MARION AVENUE,EAST FORDHAM ROAD,MARION AVENUE,INTERSECTION,BRONX,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 BRONX,,BRONX,,,PHONE,Unspecified,BRONX,,,,,,,,,,
41031661,11/25/18 13:51,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10017,,,WEST   43 STREET,5 AVENUE,WEST   43 STREET,5 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
39483465,6/16/18 13:38,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42248380,4/17/19 13:56,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11228,,,86 STREET,14 AVENUE,86 STREET,14 AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,10 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
42157452,4/7/19 17:15,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,BROADWAY,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
43047324,6/21/19 5:24,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,11691,,,BEACH   44 STREET,EDGEMERE AVENUE,BEACH   44 STREET,EDGEMERE AVENUE,INTERSECTION,FAR ROCKAWAY,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,6/21/19 21:17,14 QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
39701774,7/11/18 6:05,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Other,Residence,11234,,,AVENUE V,EAST   38 STREET,AVENUE V,EAST   38 STREET,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene has sent official written documentation to the Owner or,7/11/18 20:02,18 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
40135216,8/29/18 15:52,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,11206,,,BROADWAY,FLUSHING AVENUE,BROADWAY,FLUSHING AVENUE,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,01 BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
42717595,5/19/19 13:15,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,10003,,,EAST   14 STREET,4 AVENUE,EAST   14 STREET,4 AVENUE,INTERSECTION,NEW YORK,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,05 MANHATTAN,,MANHATTAN,,,PHONE,Unspecified,MANHATTAN,,,,,,,,,,
43098420,6/25/19 18:21,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,11201,,,WASHINGTON STREET,WATER STREET,WASHINGTON STREET,WATER STREET,INTERSECTION,BROOKLYN,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,02 BROOKLYN,,BROOKLYN,,,PHONE,Unspecified,BROOKLYN,,,,,,,,,,
26303203,9/12/13 16:24,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,,,,,,HARDING EXPRESSWAY,MARTHON PARKWAY,,,,N/A,Open,10/12/13 16:24,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,PHONE,Unspecified,QUEENS,,,,,,,,,,
40257368,9/12/18 14:12,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,,WEST   73 STREET,WEST   73 STREET,BROADWAY,,BROADWAY,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
39955901,8/8/18 16:13,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,GRAHAM AVENUE,GRAHAM AVENUE,BROADWAY,,BROADWAY,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
41299081,12/29/18 12:10,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,LIBERTY AVENUE,LIBERTY AVENUE,GRANT AVENUE,,GRANT AVENUE,,ADDRESS,,,,In Progress,,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,0 Unspecified,,Unspecified,,,PHONE,Unspecified,Unspecified,,,,,,,,,,
28169516,6/2/14 11:37,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Residence,,245-35A 77 CRESCENT,77 CRESCENT,,,,,ADDRESS,,,N/A,Open,7/2/14 11:37,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
30186061,3/16/15 8:03,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,,,,,,BROADWAY,GREENE AVE,INTERSECTION,,,N/A,Assigned,4/15/15 8:03,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",9/29/17 13:04,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
30844806,6/14/15 12:30,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,,LINCOLN ROAD,LINCOLN ROAD,FLATBUSH AVE.,,,,ADDRESS,,,N/A,Assigned,7/14/15 12:30,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",9/29/17 13:04,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
30886659,6/19/15 20:59,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Snake,Residence,,,,,,LINCOLN ROAD,FLATBUSH AVENUE,INTERSECTION,,,N/A,Assigned,7/19/15 20:59,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",9/29/17 13:04,Unspecified BROOKLYN,,BROOKLYN,,,ONLINE,Unspecified,BROOKLYN,,,,,,,,,,
31307088,8/13/15 13:35,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Other,Street Vendor,,ARTHUR AVENUE,ARTHUR AVENUE,EAST TREMONT AVENUE,,,,ADDRESS,,,N/A,Open,9/12/15 13:35,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified BRONX,,BRONX,,,UNKNOWN,Unspecified,BRONX,,,,,,,,,,
31403238,8/27/15 15:46,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Street Vendor,,,,,,GRANT AVE,LIBERTY AVE,INTERSECTION,,,N/A,Open,9/26/15 15:46,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified BROOKLYN,,BROOKLYN,,,UNKNOWN,Unspecified,BROOKLYN,,,,,,,,,,
32631779,2/8/16 6:47,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Sold,Turtle Under 4 inches Long,Store,,WILLETS POINT BOULEVARD,WILLETS POINT BOULEVARD,PARSONS BOULEVARD,,,,ADDRESS,,,N/A,Open,3/9/16 6:47,The Department of Health and Mental Hygiene will review the Service Request. Complaints of this type usually result in Agency contact or an inspection. Status will be available from 311 within 30 days of the Service Request submission date  Please note the Service Request number for future reference.,,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
34696670,11/3/16 7:09,,DOHMH,Department of Health and Mental Hygiene,Illegal Animal Kept as Pet,Rooster,Residence,,108 AVENUE,108 AVENUE,154 STREET,,,,ADDRESS,,,N/A,Assigned,12/3/16 7:09,"The Department of Health and Mental Hygiene has sent official written documentation to the Owner or Landlord warning them of potential violations and instructing them to correct the situation.  If the situation persists 21 days after the initial complaint, please submit a new Service Request.",9/29/17 13:04,Unspecified QUEENS,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
